client_id,cate,expected_incremental_revenue,expected_incremental_profit_per_customer,expected_roi_pct_per_customer,rfm_segment,monetary_capped,aov,frequency,recency,campaign_id,strategy_name,optimizer,constraint
2343b61a58,0.4784983570598425,23.924917852992124,23.424917852992124,46.84983570598425,455,119321.06,3615.7896969696967,33,3,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
8a1187bf37,0.4479970632219704,22.39985316109852,21.89985316109852,43.79970632219704,255,176865.56,5527.04875,32,11,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
56473e1e15,0.4447872072525812,22.23936036262906,21.73936036262906,43.47872072525812,454,105345.84,3098.4070588235295,34,3,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
196c98931c,0.4424250943850912,22.12125471925456,21.62125471925456,43.24250943850912,544,68537.62,2636.0623076923075,26,1,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
ff3f4cae3b,0.4412978430733014,22.06489215366507,21.56489215366507,43.12978430733014,153,38267.0,683.3392857142857,56,15,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
7ba1a78f9a,0.4382515723270443,21.912578616352217,21.412578616352217,42.825157232704434,154,65625.0,2050.78125,32,19,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
c5822e0bab,0.4370531656432251,21.852658282161254,21.352658282161254,42.70531656432251,541,9193.45,328.33750000000003,28,1,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
329ee1c0b0,0.4325493992708301,21.627469963541504,21.127469963541504,42.25493992708301,244,112525.58,4688.565833333333,24,8,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
7e6e4089d5,0.4312426880291883,21.562134401459414,21.062134401459414,42.12426880291883,154,97249.25,1944.985,50,12,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
cf409dfa27,0.4265854627300411,21.329273136502056,20.829273136502056,41.65854627300411,211,222.18,74.06,3,9,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
436b9d37ef,0.4243565148701747,21.217825743508733,20.717825743508733,41.435651487017466,211,178.18,59.39333333333334,3,10,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
fb32ecec8e,0.4230991276086208,21.154956380431038,20.654956380431038,41.309912760862076,211,163.0,54.333333333333336,3,9,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
1ee9422f3d,0.4164865699289899,20.824328496449496,20.324328496449496,40.64865699289899,155,143449.1,1839.0910256410257,78,18,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
01a5191270,0.4109650973536682,20.54825486768341,20.04825486768341,40.09650973536682,154,79944.66,986.9711111111111,81,15,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
f3dd8d6e9b,0.4105335134504096,20.52667567252048,20.02667567252048,40.05335134504096,514,74226.0,37113.0,2,1,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
2f00029c04,0.4014543328888847,20.072716644444235,19.572716644444235,39.14543328888847,211,291.95,97.31666666666666,3,9,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
d7810c783e,0.3989633002156239,19.948165010781192,19.448165010781192,38.896330021562385,544,91375.55,3807.3145833333333,24,1,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
95d14f4e7b,0.3976868089207788,19.88434044603894,19.38434044603894,38.76868089207788,134,76622.19,6385.1825,12,20,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
db4589450b,0.3959520286825892,19.79760143412946,19.29760143412946,38.59520286825892,411,803.0,160.6,5,3,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
0045f683ce,0.3948417752092539,19.742088760462696,19.242088760462696,38.48417752092539,411,233.0,116.5,2,4,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
3e3b9fa96e,0.3932336881588145,19.661684407940726,19.161684407940726,38.32336881588145,531,14681.0,1048.642857142857,14,1,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
7a4fdea6a6,0.3874139194139194,19.37069597069597,18.87069597069597,37.74139194139194,211,173.0,57.666666666666664,3,10,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
5523cb0da1,0.386104507168113,19.30522535840565,18.80522535840565,37.6104507168113,414,75004.0,37502.0,2,2,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
6984c94991,0.386104507168113,19.30522535840565,18.80522535840565,37.6104507168113,211,517.88,103.576,5,11,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
