client_id,cate,expected_incremental_revenue,expected_incremental_profit_per_customer,rfm_segment,monetary_capped,campaign_id,strategy_name,optimizer,constraint
796f8f6a26,0.5309168701591518,26.54584350795759,26.04584350795759,153,56722.79,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
7bb5feb5ea,0.4930360445933111,24.651802229665552,24.151802229665552,555,160927.83,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
8a97561c7e,0.4512470697981128,22.56235348990564,22.06235348990564,155,200689.43,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
f0ecaaaf57,0.4230991276086208,21.154956380431038,20.654956380431038,211,144.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
06d9c54cb9,0.4046246049561645,20.231230247808224,19.731230247808224,552,17759.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
6d6ee4162b,0.4046246049561645,20.231230247808224,19.731230247808224,551,6612.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
46e4a13d66,0.4014543328888847,20.072716644444235,19.572716644444235,211,296.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
6404d82ba5,0.4014543328888847,20.072716644444235,19.572716644444235,311,289.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
51b28fd023,0.4014543328888847,20.072716644444235,19.572716644444235,154,101725.96,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
3890f5ddbb,0.4000467836257313,20.002339181286565,19.502339181286565,151,6861.360000000001,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
a327db1b4b,0.37277756734215,18.638878367107502,18.138878367107502,414,86030.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
95a98e64a1,0.3599565313187367,17.997826565936837,17.497826565936837,413,52250.95,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
b53dec3196,0.3565841426673404,17.82920713336702,17.32920713336702,155,122514.62,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
742e8d60de,0.3425484956092687,17.127424780463436,16.627424780463436,341,4541.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
072a53c6ae,0.3393004194830245,16.965020974151223,16.465020974151223,111,172.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
361952c310,0.3316082092113393,16.580410460566966,16.080410460566966,151,14514.0,CPN20251022_160755,Optimized (ROI & Budget),src.optimize.optimize_with_constraints,"ROI ≥ 50% AND Budget ≤ $10,000"
